WorkerIndex,Treatment,WorkTimeInSeconds,Answer.output_buttons_b,Answer.output_feedback_b,Answer.question_order_b,Answer.retention_check,Answer.time_array_out_b,Answer.tutorial_save_b,Answer.verbal_feedback
1,A,224,"{""2"":0,""20"":0,""22"":0,""40"":1,""42"":0,""65"":0,""75"":1,""76"":0,""91"":0,""92"":0}",2,"[91,76,22,40,92,2,42,75,65,20]",I didn't have one favorite item; I was more interested in the total value of what I was being given than any one specific item.,"{""2"":8.052,""20"":7.875,""22"":12.471,""40"":6.464,""42"":5.92,""65"":8.728,""75"":5.357,""76"":10.669,""91"":22.568,""92"":6.696,""tutorial_2A"":33.211,""tutorial_3A"":4.204}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}","This was a fun, interesting, and easy survey to complete."
2,A,364,"{""12"":0,""20"":0,""22"":0,""28"":0,""30"":1,""50"":0,""56"":0,""65"":0,""89"":1,""104"":0}",1,"[22,50,30,12,104,65,28,89,56,20]",I guess the gold goblet was the best item.,"{""12"":20.277,""20"":4.5,""22"":36.16,""28"":7.827,""30"":28.451,""50"":21.583,""56"":10.371,""65"":11.151,""89"":8.607,""104"":12.821,""tutorial_2A"":45.144,""tutorial_3A"":6.873}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Everything was very easy to understand.
3,A,153,"{""12"":1,""15"":1,""28"":0,""37"":0,""54"":1,""55"":0,""56"":0,""78"":0,""86"":0,""104"":0}",2,"[86,15,104,12,56,37,54,28,78,55]",The map,"{""12"":10.297,""15"":5.56,""28"":4.992,""37"":7.832,""54"":6.201,""55"":5.521,""56"":6.696,""78"":5.36,""86"":7.59,""104"":7.633,""tutorial_2A"":23.538,""tutorial_3A"":4.794}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",no questions
4,A,321,"{""5"":1,""26"":1,""27"":0,""29"":1,""62"":0,""64"":0,""70"":0,""86"":0,""93"":1,""98"":0}",1,"[70,98,93,29,62,64,26,27,5,86]",shirt,"{""5"":5.24,""26"":6.424,""27"":6.456,""29"":7.417,""62"":8.176,""64"":10.944,""70"":26.725,""86"":7.72,""93"":16.927,""98"":18.896,""tutorial_2A"":67.303,""tutorial_3A"":4.259}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Easy task
5,A,484,"{""8"":0,""20"":1,""33"":1,""37"":0,""40"":1,""70"":0,""71"":0,""84"":0,""86"":0,""90"":1}",1,"[37,20,71,8,84,40,33,86,90,70]",Rum,"{""8"":9.694,""20"":43.269,""33"":7.697,""37"":55.443,""40"":110.765,""70"":15.587,""71"":9.41,""84"":21.256,""86"":5.65,""90"":11.416,""tutorial_2A"":73.362,""tutorial_3A"":3.153}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",N/A
6,A,397,"{""2"":0,""27"":0,""61"":1,""63"":0,""79"":0,""82"":1,""83"":0,""84"":0,""85"":0,""92"":0}",1,"[83,61,27,79,2,85,82,92,84,63]",The trophy looking item.,"{""2"":19.152,""27"":9.108,""61"":6.55,""63"":12.202,""79"":20.326,""82"":27.028,""83"":59.787,""84"":15.137,""85"":16.002,""92"":18.377,""tutorial_2A"":32.882,""tutorial_3A"":2.736}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",I don't have any comments or questions.
7,A,469,"{""40"":0,""54"":1,""65"":0,""69"":0,""71"":0,""78"":0,""79"":0,""90"":0,""91"":0,""98"":0}",1,"[40,91,79,90,69,71,78,98,65,54]",Silver,"{""40"":18.718,""54"":5.24,""65"":6.68,""69"":5.936,""71"":8.087,""78"":9.753,""79"":10.841,""90"":9.448,""91"":25.52,""98"":6.56,""tutorial_2A"":18.232,""tutorial_3A"":3.266}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Do pirates really find basketballs
8,A,170,"{""0"":1,""19"":1,""33"":1,""42"":0,""44"":0,""51"":0,""62"":0,""78"":1,""83"":0,""92"":1}",1,"[44,33,42,83,51,62,78,92,19,0]",the diamond,"{""0"":2.766,""19"":1.879,""33"":3.697,""42"":3.075,""44"":8.86,""51"":4.653,""62"":2.333,""78"":3.396,""83"":4.021,""92"":2.865,""tutorial_2A"":53.661,""tutorial_3A"":1.547}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",fun survey!
9,A,214,"{""1"":0,""8"":0,""23"":0,""34"":0,""56"":0,""58"":0,""82"":1,""89"":1,""98"":0,""104"":0}",2,"[8,56,1,34,98,104,82,58,89,23]",ring,"{""1"":11.244,""8"":17.21,""23"":8.702,""34"":9.053,""56"":15.43,""58"":9.921,""82"":4.977,""89"":5.225,""98"":5.805,""104"":5.948,""tutorial_2A"":29.694,""tutorial_3A"":2.119}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",it was easy
10,A,132,"{""21"":1,""29"":0,""48"":0,""62"":0,""64"":0,""70"":0,""86"":0,""89"":1,""93"":0,""103"":1}",1,"[86,103,93,89,29,48,64,70,21,62]",Silver bars,"{""21"":3.331,""29"":5.292,""48"":8.835,""62"":3.637,""64"":4.868,""70"":6.332,""86"":11.197,""89"":4.756,""93"":7.383,""103"":5.497,""tutorial_2A"":15.868,""tutorial_3A"":4.284}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",none
